"","Sample","Substrate","Density","Culture","Survival","Individual_Weight","Total_Weight","Conversion","Substrate_reduction","Development_time"
"1","M1-R01","Bran/grass",1,1,0.542857142857143,7.75769230769231,294.792307692308,0.0470523379448873,0.307569955817378,6
"2","M1-R02","Bran/grass",1,2,0.585714285714286,6.99655172413793,286.858620689655,0.0442833401293117,0.318006872852234,6
"3","M1-R03","Bran/grass",1,3,0.657142857142857,5.62058823529412,258.547058823529,0.0395434683057568,0.320976926853215,6
"4","M1-R04","Bran/grass",1,4,0.557142857142857,5.55185185185185,216.522222222222,0.036118339598022,0.294295532646048,6
"5","M1-R05","Bran/grass",1,5,0.357142857142857,7.82307692307693,195.576923076923,0.03181716362344,0.301762395679921,6
"6","M1-R06","Bran/grass",1,6,0.7,7.25945945945946,355.713513513514,0.0585883838181496,0.298055964653903,6
"7","M1-R07","Bran/grass",1,7,0.485714285714286,6.56363636363636,223.163636363636,0.0361943715009871,0.302685321551301,6
"8","M1-R08","Bran/grass",1,8,0.642857142857143,9.09393939393939,409.227272727273,0.0627870679422607,0.319965635738832,7
"9","M1-R09","Bran/grass",1,9,0.5,11.3521739130435,397.326086956522,0.0615980786872737,0.316656848306333,6
"10","M1-R10","Bran/grass",1,10,0.814285714285714,8.55333333333333,487.54,0.0686966323798788,0.348404516445753,6
"11","M3-R01","Bran/grass",3,1,0.652380952380952,3.02,413.74,0.0615987017434157,0.329734904270987,6
"12","M3-R02","Bran/grass",3,2,0.5,3.21720430107527,337.806451612903,0.0494541484200599,0.335331369661266,6
"13","M3-R03","Bran/grass",3,3,0.557142857142857,5.30666666666667,620.88,0.0821922160444798,0.370839469808542,6
"14","M3-R04","Bran/grass",3,4,0.752380952380952,4.36438356164384,689.572602739726,0.0875169878973673,0.386809032891507,6
"15","M3-R05","Bran/grass",3,5,0.676190476190476,4.66153846153846,661.938461538462,0.0838363723514947,0.387609229258714,7
"16","M3-R06","Bran/grass",3,6,0.80952380952381,4.23987341772152,720.778481012658,0.0910326708192501,0.388699067255768,6
"17","M3-R07","Bran/grass",3,7,0.738095238095238,3.85524475524476,597.562937062937,0.0719964020124263,0.407457044673539,6
"18","M3-R08","Bran/grass",3,8,0.714285714285714,5.41594202898551,812.391304347826,0.0972818863054074,0.409960726558665,6
"19","M3-R09","Bran/grass",3,9,0.623809523809524,5.61680672268908,735.801680672269,0.0950071249592972,0.380201276386843,6
"20","M3-R10","Bran/grass",3,10,0.8,5.02820512820513,844.738461538461,0.11721896364927,0.353780068728522,6
"21","B1-R01","Brewery",1,1,0.542857142857143,7.20384615384615,273.746153846154,0.0354965901847993,0.396294964028777,7
"22","B1-R02","Brewery",1,2,0.814285714285714,8.47111111111111,482.853333333333,0.0615719428894471,0.402985611510791,7
"23","B1-R03","Brewery",1,3,0.8,7.27045454545454,407.145454545455,0.0543375001061611,0.385041109969168,6
"24","B1-R04","Brewery",1,4,0.885714285714286,7.19,445.78,0.0581472399039967,0.393956834532374,7
"25","B1-R05","Brewery",1,5,0.685714285714286,7.33611111111111,352.133333333333,0.0442350773611373,0.409069886947585,7
"26","B1-R06","Brewery",1,6,0.642857142857143,7.43939393939394,334.772727272727,0.0429388478513086,0.400642343268243,7
"27","B1-R07","Brewery",1,7,0.585714285714286,7.94137931034483,325.596551724138,0.0415132282390017,0.403042137718397,7
"28","B1-R08","Brewery",1,8,0.814285714285714,11.6888888888889,666.266666666667,0.0893406279053136,0.383227132579651,7
"29","B1-R09","Brewery",1,9,0.628571428571429,10.659375,469.0125,0.0636579258113115,0.37860739979445,7
"30","B1-R10","Brewery",1,10,0.814285714285714,9.96222222222222,567.846666666667,0.0732951269673267,0.398119218910586,7
"31","B3-R01","Brewery",3,1,0.780952380952381,5.86907894736842,962.528947368421,0.112223407917595,0.440745118191161,6
"32","B3-R02","Brewery",3,2,0.747619047619048,6.09793103448276,957.375172413793,0.112496054476786,0.437322713257965,6
"33","B3-R03","Brewery",3,2,NA,NA,NA,NA,0.445143884892086,6
"34","B3-R04","Brewery",3,4,0.795238095238095,5.60774193548387,936.492903225807,0.107687422752611,0.44688591983556,6
"35","B3-R05","Brewery",3,5,0.685714285714286,5.74242424242424,826.909090909091,0.0974301407895526,0.436135662898253,6
"36","B3-R06","Brewery",3,6,0.704761904761905,6.37132352941177,942.955882352941,0.110144243421166,0.439933196300103,6
"37","B3-R07","Brewery",3,7,0.69047619047619,6.24586466165413,905.650375939849,0.107601598719195,0.432512846865365,6
"38","B3-R08","Brewery",3,8,0.523809523809524,6.97244897959184,766.969387755102,0.0948902455559531,0.415349434737924,7
"39","B3-R09","Brewery",3,9,0.795238095238095,6.26645161290323,1046.49741935484,0.125953520371042,0.426957862281603,6
"40","B3-R10","Brewery",3,10,0.742857142857143,6.69097222222222,1043.79166666667,0.126486472294257,0.424059609455293,6
"41","S1-R01","Sludge",1,1,0.8,4.67727272727273,261.927272727273,0.0555154135620848,0.248713758566157,6
"42","S1-R02","Sludge",1,2,0.857142857142857,4.55625,273.375,0.0627150722642807,0.229783869267264,6
"43","S1-R03","Sludge",1,3,0.785714285714286,4.93023255813953,271.162790697674,0.0581208425029845,0.245940959409594,6
"44","S1-R04","Sludge",1,4,0.7,5.41081081081081,265.12972972973,0.0591292691027297,0.23636794939378,6
"45","S1-R05","Sludge",1,5,0.871428571428571,5.31224489795918,324.04693877551,0.0699432201112692,0.244227727991566,6
"46","S1-R06","Sludge",1,6,0.814285714285714,4.93777777777778,281.453333333333,0.0619668281227065,0.239430680021086,6
"47","S1-R07","Sludge",1,7,0.8,5.10909090909091,286.109090909091,0.0591904940126799,0.254807590933052,6
"48","S1-R08","Sludge",1,8,NA,NA,NA,NA,0.214654717975751,6
"49","S1-R09","Sludge",1,9,0.7,5.66216216216216,277.445945945946,0.0806974625362688,0.181238798102267,6
"50","S1-R10","Sludge",1,10,0.528571428571429,8.08,298.96,0.0759263492063492,0.207564575645756,6
"51","S3-R01","Sludge",3,1,0.60952380952381,2.80862068965517,359.503448275862,0.0787849155784142,0.240542962572483,6
"52","S3-R02","Sludge",3,2,0.695238095238095,3.68358208955224,537.802985074627,0.0956570355153902,0.296373220875066,6
"53","S3-R03","Sludge",3,3,0.795238095238095,3.36322580645161,561.658709677419,0.103993539905834,0.284707432788614,6
"54","S3-R04","Sludge",3,4,0.819047619047619,3.22625,554.915,0.103887484788917,0.281576172904586,6
"55","S3-R05","Sludge",3,5,0.776190476190476,3.33046357615894,542.865562913907,0.10294217557863,0.277991565629942,6
"56","S3-R06","Sludge",3,6,0.842857142857143,3.40182926829268,602.123780487805,0.107190960156624,0.29611491829204,7
"57","S3-R07","Sludge",3,7,0.785714285714286,3.23856209150327,534.362745098039,0.100250031911532,0.280985767000527,6
"58","S3-R08","Sludge",3,8,0.79047619047619,2.80844155844156,466.201298701299,0.110041377213166,0.223331576172905,6
"59","S3-R09","Sludge",3,9,0.623809523809524,2.80672268907563,367.680672268908,0.0977250351554612,0.198334211913548,6
"60","S3-R10","Sludge",3,10,0.766666666666667,3.85369127516779,620.444295302013,0.126737676499237,0.258065366367949,7
